CustomerID,SignupMonth,Month,Spending
1,2023-03-01,2023-03-01,20.4417693698882
1,2023-03-01,2023-04-01,76.5485875078094
1,2023-03-01,2023-05-01,81.7016277348757
2,2023-01-01,2023-01-01,69.8638501462046
2,2023-01-01,2023-02-01,25.0846680228819
2,2023-01-01,2023-03-01,46.0146657621398
2,2023-01-01,2023-04-01,71.0045977084171
2,2023-01-01,2023-05-01,57.777194012956
3,2023-03-01,2023-03-01,80.8628038893518
3,2023-03-01,2023-04-01,81.6773743963649
3,2023-03-01,2023-05-01,61.8186263505595
4,2023-03-01,2023-03-01,70.9128329011024
4,2023-03-01,2023-04-01,60.6856552931762
4,2023-03-01,2023-05-01,39.94337833191
4,2023-03-01,2023-07-01,38.3038532393298
5,2023-01-01,2023-01-01,32.8977029803204
5,2023-01-01,2023-02-01,84.6496303651534
5,2023-01-01,2023-03-01,89.7168472150174
5,2023-01-01,2023-04-01,34.9256047108829
5,2023-01-01,2023-05-01,63.1473793532521
5,2023-01-01,2023-06-01,91.6873039938794
6,2023-01-01,2023-01-01,28.8041539622141
6,2023-01-01,2023-02-01,54.1686230901005
6,2023-01-01,2023-03-01,88.8584466605075
7,2023-03-01,2023-03-01,29.5892293866946
7,2023-03-01,2023-04-01,95.4327763130016
7,2023-03-01,2023-05-01,61.5032497394693
7,2023-03-01,2023-06-01,49.0903681903435
7,2023-03-01,2023-07-01,96.9957835953689
8,2023-02-01,2023-02-01,44.0702647853416
8,2023-02-01,2023-03-01,22.9509557883626
8,2023-02-01,2023-04-01,60.2143218583089
8,2023-02-01,2023-07-01,39.1649512533578
9,2023-03-01,2023-03-01,59.1562208222051
9,2023-03-01,2023-04-01,39.36442172092
9,2023-03-01,2023-05-01,80.9295692262974
9,2023-03-01,2023-07-01,49.4226506175403
10,2023-03-01,2023-03-01,62.8619747259807
10,2023-03-01,2023-05-01,45.6624051977389
11,2023-03-01,2023-03-01,21.3270263142285
11,2023-03-01,2023-04-01,38.119662015835
11,2023-03-01,2023-05-01,33.9493143203993
11,2023-03-01,2023-06-01,50.938827704043
11,2023-03-01,2023-07-01,31.0016755316795
12,2023-03-01,2023-03-01,93.975489462285
12,2023-03-01,2023-04-01,40.6353302172125
12,2023-03-01,2023-05-01,85.3777760160973
12,2023-03-01,2023-06-01,62.3720462684805
13,2023-01-01,2023-01-01,92.0334445730665
13,2023-01-01,2023-02-01,47.1223832838961
13,2023-01-01,2023-03-01,78.0764543096192
13,2023-01-01,2023-04-01,90.9669139412094
13,2023-01-01,2023-05-01,71.362531692343
14,2023-03-01,2023-03-01,91.8843350821663
14,2023-03-01,2023-04-01,20.7357641293304
14,2023-03-01,2023-06-01,20.4049267076975
15,2023-02-01,2023-02-01,72.1569007602081
15,2023-02-01,2023-03-01,76.9743377078029
15,2023-02-01,2023-06-01,71.9706319237772
15,2023-02-01,2023-07-01,72.6090313840275
16,2023-01-01,2023-01-01,27.4939814262474
16,2023-01-01,2023-02-01,41.216189414538
16,2023-01-01,2023-04-01,51.4478179733408
16,2023-01-01,2023-05-01,70.491090079781
16,2023-01-01,2023-06-01,60.2109674484154
17,2023-02-01,2023-02-01,59.4014155055091
17,2023-02-01,2023-03-01,77.7961692209204
17,2023-02-01,2023-06-01,34.1688543525639
17,2023-02-01,2023-07-01,96.314286160207
18,2023-02-01,2023-02-01,49.6126960204356
18,2023-02-01,2023-04-01,54.2547318653852
18,2023-02-01,2023-05-01,97.0895981671402
18,2023-02-01,2023-06-01,43.5559113655669
19,2023-02-01,2023-02-01,45.3537604125022
19,2023-02-01,2023-03-01,64.544100996668
19,2023-02-01,2023-04-01,75.6823837339978
19,2023-02-01,2023-05-01,27.7741195016615
19,2023-02-01,2023-06-01,99.2043080083411
20,2023-02-01,2023-02-01,90.1898457542364
20,2023-02-01,2023-03-01,75.7612592796215
20,2023-02-01,2023-04-01,48.7592920975804
20,2023-02-01,2023-06-01,84.8090715743345
20,2023-02-01,2023-07-01,93.0592442045177
21,2023-01-01,2023-01-01,60.121303574976
21,2023-01-01,2023-02-01,71.9971144622212
21,2023-01-01,2023-03-01,83.6634135548881
21,2023-01-01,2023-04-01,47.0396125481229
22,2023-01-01,2023-01-01,22.8753819037394
22,2023-01-01,2023-02-01,63.4115707766061
22,2023-01-01,2023-04-01,22.440019995124
22,2023-01-01,2023-06-01,48.815251312901
23,2023-02-01,2023-02-01,61.7794608043844
23,2023-02-01,2023-03-01,37.2656821997475
23,2023-02-01,2023-04-01,26.8277971995014
24,2023-02-01,2023-02-01,78.0873066978129
24,2023-02-01,2023-03-01,61.3040278640956
24,2023-02-01,2023-04-01,83.6148955814963
25,2023-01-01,2023-01-01,97.011873174234
25,2023-01-01,2023-02-01,75.6779364874959
25,2023-01-01,2023-03-01,33.8635456056677
